# food.unit_weights — conversions propres à un aliment (§6 de la spec)
#
# RÈGLE ABSOLUE : aucune ligne sans `source`, et une source qu'on a lue soi-même.
# Une valeur trouvée par un moteur de recherche ou par un modèle se vérifie dans
# le document d'origine avant d'entrer ici (I1).
#
# ── Pourquoi par aliment, et pas dans unit-default.csv ──────────────────────
#
# Aucune équivalence générique publiée ne tient (recherche du 14/09/2026) : une
# cuillère à soupe pèse 5 g de parmesan râpé et 16 g de beurre de cacahuète, une
# gousse d'ail 3 g pour l'USDA et 5 à 8 g pour Aprifel. Une valeur par unité,
# pour tous les aliments à la fois, serait fausse presque partout.
#
# ── Ce que l'app en fait ────────────────────────────────────────────────────
#
# `npm run seed:refs` remplace `food.unit_weights` en entier à partir de ce
# fichier : retirer une ligne retire la conversion. Une conversion sort en
# « Estimation » (confidence='moyenne') — une pièce ou une cuillère n'est pas une
# pesée. La source n'est pas recopiée en base (dette n° 14) : ce fichier est la
# trace.
#
# ── Colonnes ────────────────────────────────────────────────────────────────
#   ciqual_code  le code de l'aliment dans Ciqual (`food.external_id`). Jamais
#                de rattachement par ressemblance de nom.
#   aliment      son nom Ciqual, pour la relecture — le chargeur l'ignore
#   unit         l'unité telle que Jow l'écrit (casse et accents ignorés)
#   grams        le poids d'une unité, en grammes
#   source       d'où vient la valeur. « Pesée maison, <date> » convient.
#
# Sources citées :
#   densités   FAO/INFOODS Density Database v2.0 (FAO, 2012), feuille
#              « Density DB », colonne « Density in g/ml »
#   portions   USDA FoodData Central, SR Legacy (avril 2018), food_portion.csv
#   volumes    21 CFR 101.9(b)(5)(viii), FDA : « a teaspoon means 5 milliliters
#              (mL), a tablespoon means 15 mL, a cup means 240 mL » — sert aux
#              lignes « Calculé », qui passent d'une cuillère à l'autre
# La cuillère à soupe de l'USDA vaut 14,8 mL, la française 15 mL : 1 % d'écart,
# sous la précision de la mesure.
#
ciqual_code,aliment,unit,grams,source
28925,"Jambon cuit, de Paris, découenné dégraissé",Tranche,40,"Retenu d'office. Open Food Facts 3095757526108 (Fleury Michon) : « 160 g (4 tranches de 40 g) »"
28900,"Jambon cuit, supérieur",Tranche,40,"Retenu d'office. Open Food Facts 3095757526108 (Fleury Michon) : « 160 g (4 tranches de 40 g) »"
28901,"Jambon cuit, supérieur, avec couenne",Tranche,40,"Retenu d'office. Open Food Facts 3095757526108 (Fleury Michon) : « 160 g (4 tranches de 40 g) »"
28902,"Jambon cuit, supérieur, découenné",Tranche,40,"Retenu d'office. Open Food Facts 3095757526108 (Fleury Michon) : « 160 g (4 tranches de 40 g) »"
28906,"Jambon cuit, supérieur, découenné dégraissé",Tranche,40,"Retenu d'office. Open Food Facts 3095757526108 (Fleury Michon) : « 160 g (4 tranches de 40 g) »"
28907,"Jambon cuit, supérieur, à teneur réduite en sel",Tranche,40,"Retenu d'office. Open Food Facts 3095757526108 (Fleury Michon) : « 160 g (4 tranches de 40 g) »"
28803,"Jambon cuit, fumé",Tranche,40,"Retenu d'office. Open Food Facts 3095757526108 (Fleury Michon) : « 160 g (4 tranches de 40 g) »"
20041,"Poivron, vert, jaune ou rouge, cru",Pièce,190,"Retenu d'office. Aprifel, fiches poivron rouge et poivron vert : « pèse en moyenne 125 à 250 g » → 190"
20087,"Poivron rouge, cru",Pièce,190,"Retenu d'office. Aprifel, fiche poivron rouge : « pèse en moyenne 125 à 250 g » → 190"
20088,"Poivron rouge, cuit",Pièce,190,"Retenu d'office. Aprifel, fiche poivron rouge : « pèse en moyenne 125 à 250 g » → 190"
20085,"Poivron vert, cru",Pièce,190,"Retenu d'office. Aprifel, fiche poivron vert : « pèse en moyenne 125 à 250 g » → 190"
20086,"Poivron vert, cuit",Pièce,190,"Retenu d'office. Aprifel, fiche poivron vert : « pèse en moyenne 125 à 250 g » → 190"
20168,"Poivron jaune, cru",Pièce,190,"Retenu d'office. Aprifel, fiches poivron rouge et poivron vert : « pèse en moyenne 125 à 250 g » → 190"
36016,"Poulet, viande et peau, cru",Pièce,1500,"Retenu d'office. volaille-francaise.fr, le poulet : « 1,5 kg poids moyen prêt à cuire » — os compris"
36007,"Poulet (var. blanc), viande et peau, cru",Pièce,1500,"Retenu d'office. volaille-francaise.fr, le poulet : « 1,5 kg poids moyen prêt à cuire » — os compris"
36008,"Poulet fermier, viande et peau, cru",Pièce,1500,"Retenu d'office. volaille-francaise.fr, le poulet : « 1,5 kg poids moyen prêt à cuire » — os compris"
36005,"Poulet, viande et peau, rôti/cuit au four",Pièce,1500,"Retenu d'office. volaille-francaise.fr, le poulet : « 1,5 kg poids moyen prêt à cuire » — os compris, poids avant cuisson"
11003,"Ciboule ou Ciboulette, fraîche",Bouquet,30,"Retenu d'office. comptoirdesrestaurateurs.fr : « Ciboulette 30g Cat1 (à la botte) », « poids par Pièce : 0.030 kg »"
7100,"Pain, baguette ou boule, de campagne",Tranche,30,"Retenu d'office. Open Food Facts 3560070463862 (Carrefour Bio) : « 400 g (13 tranches, entame comprise) », portion « Deux tranches (61,5 g) » — pain prétranché"
7261,"Pain de campagne maison (avec farine pour machine à pain)",Tranche,30,"Retenu d'office. Open Food Facts 3560070463862 (Carrefour Bio) : « 400 g (13 tranches, entame comprise) », portion « Deux tranches (61,5 g) » — pain prétranché"
# Deux valeurs **retenues d'office** le 14/09/2026, à la demande du propriétaire
# du projet : aucune source officielle ne mesure un œuf « taille FR » ni une
# gousse, et « non converti » coûtait plus qu'une approximation. Les sources sont
# des pages web non officielles, citées telles quelles ; une pesée maison les
# remplace volontiers.
22000,"Oeuf, cru",Pièce,50,"Retenu d'office (14/09/2026). mesures-cuisine.fr/poids-oeuf : calibre « M — Moyen (53-63 g) » avec coquille, « 50 g » sans"
22010,"Oeuf, dur",Pièce,50,"Retenu d'office (14/09/2026). mesures-cuisine.fr/poids-oeuf : calibre « M — Moyen (53-63 g) » avec coquille, « 50 g » sans"
22011,"Oeuf, poché",Pièce,50,"Retenu d'office (14/09/2026). mesures-cuisine.fr/poids-oeuf : calibre « M — Moyen (53-63 g) » avec coquille, « 50 g » sans"
22014,"Oeuf, à la coque",Pièce,50,"Retenu d'office (14/09/2026). mesures-cuisine.fr/poids-oeuf : calibre « M — Moyen (53-63 g) » avec coquille, « 50 g » sans"
22505,"Oeuf, au plat, sans matière grasse",Pièce,50,"Retenu d'office (14/09/2026). mesures-cuisine.fr/poids-oeuf : calibre « M — Moyen (53-63 g) » avec coquille, « 50 g » sans"
22501,"Oeuf, au plat, frit, salé",Pièce,50,"Retenu d'office (14/09/2026). mesures-cuisine.fr/poids-oeuf : calibre « M — Moyen (53-63 g) » avec coquille, « 50 g » sans"
11000,"Ail, cru",Gousse,5,"Retenu d'office (14/09/2026). gustant.fr, carnet d'ingrédients « Tête d'ail » : « une gousse, 4 à 7 g »"
11306,"Ail, rôti/cuit au four",Gousse,5,"Retenu d'office (14/09/2026). gustant.fr, carnet d'ingrédients « Tête d'ail » : « une gousse, 4 à 7 g »"
11307,"Ail, sauté/poêlé, sans matière grasse",Gousse,5,"Retenu d'office (14/09/2026). gustant.fr, carnet d'ingrédients « Tête d'ail » : « une gousse, 4 à 7 g »"
